lat_grid,lon_grid,fire_count,mean_frp,max_frp,mean_bright,mean_risk,high_conf_pct,norm_count,composite_risk,risk_zone
30.5,75.0,2108,7.123519924098671,98.0,342.024440227704,47.23973868667499,3.795066413662239,13.196444221860522,22.86902004788695,Low
18.5,80.0,2599,4.6222931896883415,35.93,336.3548095421316,45.992939355528826,1.5005771450557905,16.27018905721798,22.809604408958148,Low
19.5,83.5,2215,6.948708803611738,240.5,335.16522347629797,46.557030279093254,3.160270880361174,13.86628270940278,22.76822974951764,Low
26.0,94.0,450,19.014377777777778,277.05,340.4600888888889,49.03086029033073,10.444444444444445,2.817077751345937,22.759593392707806,Low
30.5,74.5,1938,7.505531475748193,105.38,342.09807017543864,47.5500642263068,4.592363261093911,12.132214849129836,22.75657434083954,Low
23.0,79.5,2176,5.8830422794117645,98.58,337.5850551470588,47.557712609809386,2.297794117647059,13.622135970952797,22.74677912461132,Low
25.5,92.5,1215,13.748905349794237,163.61,339.9742551440329,48.45197474965982,5.349794238683128,7.60610992863403,22.735524447164146,Low
25.5,92.0,1942,7.782167868177137,176.92,336.6514521112255,47.74089733201386,3.038105046343975,12.15725554025291,22.728619861372927,Low
23.5,91.5,1077,14.360120705663881,208.45,341.2987279480037,48.88800634295205,5.478180129990715,6.742206084887943,22.713312681515134,Low
30.0,75.5,2066,6.030546950629236,68.9,340.7633010648596,47.48042037471324,3.5333978702807354,12.933516965068236,22.629952320004502,Low
25.5,94.0,530,20.59011320754717,329.58,338.93911320754717,48.44607622886647,6.415094339622642,3.317891573807437,22.622982289688956,Low
30.0,78.5,2462,4.109354183590576,115.48,323.32304224207957,46.17344212803994,1.8277822908204713,15.41254538625266,22.509063900824234,Low
15.5,78.5,2052,6.354366471734893,96.65,336.83000487329434,46.72415555356754,3.7037037037037033,12.845874546137473,22.412385597156526,Low
19.5,80.5,2421,5.224745972738538,199.65,331.816926889715,45.52290327471501,1.2804626187525816,15.15587830224114,22.346132051203714,Low
26.0,83.5,1789,7.219284516489658,141.65,331.7078759083287,47.200178307245096,5.477920626048071,11.199449104795292,22.342482896086864,Low
21.5,84.0,2621,2.891247615413964,37.07,318.15243037008776,45.71605869908489,0.4196871423120946,16.40791285839489,22.32795043424412,Low
31.0,75.0,1868,6.778104925053533,90.46,340.5582280513919,47.39913387635301,3.5331905781584587,11.694002754476024,22.307943281426642,Low
29.5,79.0,2409,3.7535159817351595,42.97,323.48227065172273,46.12527441812091,1.6604400166044004,15.080756228871916,22.29256569326256,Low
30.5,74.0,1404,8.407613960113961,63.19,343.7354415954416,47.91312083607243,8.618233618233619,8.789282584199324,22.285495982338624,Low
26.5,95.0,638,15.342413793103447,104.21,340.2598589341693,48.708009767935394,9.404388714733543,3.9939902341304623,22.265403156774138,Low
26.5,83.0,1921,5.957626236335242,183.58,327.0179854242582,46.86910268920455,5.25767829255596,12.025791911856768,22.257030594294434,Low
17.5,80.0,2220,5.116288288288288,60.39,336.37587837837833,46.35499493527809,1.5765765765765765,13.897583573306624,22.20621844821503,Low
20.5,81.5,1837,5.9603375068045725,45.46,339.8984104518236,47.53127385765657,4.246053347849755,11.499937398272191,22.204087744936924,Low
21.5,82.0,2118,4.359277620396601,46.01,331.70880547686494,47.23822664621059,1.9357884796978282,13.259045949668211,22.185716671986064,Low
25.5,93.0,712,16.84300561797753,171.5,339.36419943820226,48.352419374611756,5.337078651685393,4.45724301990735,22.177965506416477,Low
21.0,82.0,1907,5.29929732564237,48.83,339.01068694284214,47.59353184932273,3.46093340325118,11.938149492926005,22.176684873895987,Low
18.0,80.0,2357,4.2705939753924484,34.34,336.7142172252864,45.88596296614472,1.0182435299109036,14.755227244271943,22.127690351290532,Low
23.5,69.0,206,19.23606796116505,164.78,345.4408737864078,48.63271703730325,10.194174757281553,1.2895955928383624,22.102201454595843,Low
27.0,83.5,1880,5.48472340425532,162.0,330.8192712765957,47.12384765160194,3.5106382978723407,11.769124827845248,21.992905611414212,Low
26.0,93.5,647,17.04531684698609,225.57,333.0089644513137,48.09707273189225,5.4095826893353935,4.05033178915738,21.99139278948963,Low
26.0,93.0,797,13.193074027603512,253.55,338.1215432873275,48.49935094085477,7.528230865746549,4.989357706272693,21.949775319781775,Low
16.0,78.5,1655,7.43638670694864,157.95,335.26658006042294,46.94332555123426,4.7734138972809665,10.36058595217228,21.929274565105988,Low
32.5,76.5,13,22.990000000000002,86.17,336.8946153846154,47.85506613212518,7.6923076923076925,0.08138224614999374,21.861451305274446,Low
29.5,79.5,2175,4.003144827586207,57.77,322.95580689655174,46.29534827211837,1.3333333333333335,13.61587579817203,21.85351981181709,Low
25.5,70.0,11,7.962727272727273,12.47,352.83,50.27483956110732,27.27272727272727,0.06886190058845623,21.841909126380475,Low
19.0,80.0,2326,3.8885167669819434,42.42,334.79109200343936,45.525077387874695,0.7308684436801376,14.561161888068112,21.833016744202286,Low
30.5,75.5,1606,6.609526774595268,90.83,340.97190535491904,47.252934097478544,4.545454545454546,10.053837485914611,21.752305361117745,Low
19.0,81.0,1731,7.915025996533795,281.79,334.730034662045,46.28734443471586,2.657423454650491,10.836359083510704,21.74442751046626,Low
25.5,91.0,939,10.220234291799786,173.45,335.90193823216185,48.24069361865732,8.839190628328009,5.8783022411418555,21.743567999700694,Low
26.5,93.0,552,13.333532608695652,275.11,339.84143115942027,48.87176842873796,9.239130434782608,3.45561537498435,21.740761017593712,Low
24.0,92.0,572,15.46506993006993,299.59,340.85575174825175,48.58591056207718,5.419580419580419,3.580818830599725,21.70259611935355,Low
26.5,83.5,1636,5.71390586797066,95.45,330.9238753056234,47.30175903071782,4.706601466992665,10.241642669337674,21.683162133716362,Low
31.5,75.5,1362,8.40096182085169,114.86,339.8201027900147,47.372952502685905,5.286343612334802,8.526355327407037,21.669975138377392,Low
25.0,92.5,839,12.25533969010727,214.52,338.5050297973778,48.42922849479645,5.721096543504172,5.252284963064981,21.660561811026565,Low
18.0,82.0,1899,5.279905213270142,116.4,332.494728804634,46.26441584682349,3.0542390731964195,11.888068110679855,21.649657097289747,Low
25.5,91.5,1418,7.937433004231313,192.87,335.93635401974615,47.631609895653696,3.596614950634697,8.876925003130086,21.627242698465338,Low
21.5,83.5,2346,2.493759590792839,22.88,317.7849829497016,45.52456964220145,0.4688832054560955,14.686365343683486,21.5887118679421,Low
30.0,74.5,1501,6.806728847435043,47.67,341.1208994003997,47.490298636982665,3.79746835443038,9.396519343933893,21.567531296321683,Low
22.0,79.5,1705,6.787870967741935,72.61,339.364715542522,46.41394121284684,3.0498533724340176,10.673594591210717,21.559482035108832,Low
25.0,76.5,1277,7.132607674236492,76.37,338.6154346123727,47.61267698074492,7.517619420516837,7.994240641041693,21.55273796872829,Low
24.5,93.5,687,13.469039301310042,178.37,338.29225618631733,48.36852263749522,5.676855895196507,4.3007387003881306,21.529620830793093,Low
31.5,76.0,1761,5.358029528676888,67.02,331.26307211811474,46.67869279241221,3.2367972742759794,11.024164266933766,21.525204856473778,Low
18.5,73.0,2083,3.8374987998079693,51.28,323.9142342774844,46.03337985677192,0.9121459433509362,13.039939902341304,21.487048276045247,Low
23.0,77.5,1737,5.820316637881405,123.78,334.5342487046632,46.646151606153516,2.4755325273459987,10.873920120195317,21.471859535549232,Low
